,Unnamed: 0,team name,wins,losses,ties,wlp,PF,PA,PD_x,MoV,SoS,SRS,OSRS,DSRS,Rk_x_Off,Tm,Yds_tot_Off,Ply_Off,Y/P_Off,TO_Off,FL_Off,1stD_tot_Off,1stD_Pss_Off,1stD_Rsh_Off,Pen_Off,Yds_Pny_Off,1stPy_Off,Sc%_Off,TO%_Off,EXP_Off,Rk_Pss_Off,G_Pss_Off,Cmp_Off,Att_Pss_Off,Cmp%_Off,Yds_Pss_Off,TD_Pss_Off,TD%_Off,Int_Off,Int%_Off,Lng_Pss,Y/A_Pss_Off,AY/A_Off,Y/C_Off,Y/G_Pss_Off,Rate_Off,Sk_Off,Yds.1_Off,Sk%_Off,NY/A_Off,ANY/A_Off,4QC,GWD,EXP_Pss_Off,Rk_Rsh_Off,G_Rsh_Off,Att_Rsh_Off,Yds_Rsh_Off,TD_Rsh_Off,Lng_Rsh,Y/A_Rsh_Off,Y/G_Rsh_Off,Fmb,EXP_Rsh_Off,Rk_y_Off,G_Off,RshTD_Off,RecTD_Off,PR TD_Off,KR TD_Off,FblTD_Off,IntTD_Off,OthTD_Off,AllTD_Off,2PM_Off,2PA_Off,D2P_Off,XPM_Off,XPA_Off,FGM_Off,FGA_Off,Sfty_Off,Pts_Off,Pts/G_Off,Rk_x_Def,Yds_tot_Def,Ply_Def,Y/P_Def,TO_Def,FL_Def,1stD_tot_Def,1stD_Pss_Def,1stD_Rsh_Def,Pen_Def,Yds_Pny_Def,1stPy_Def,Sc%_Def,TO%_Def,EXP_Def,Rk_Pss_Def,G_Pss_Def,Cmp_Def,Att_Pss_Def,Cmp%_Def,Yds_Pss_Def,TD_Pss_Def,TD%_Def,Int_Def,PD_y,Int%_Def,Y/A_Pss_Def,AY/A_Def,Y/C_Def,Y/G_Pss_Def,Rate_Def,Sk_Def,Yds.1_Def,QBHits,TFL,Sk%_Def,NY/A_Def,ANY/A_Def,EXP_Pss_Def,Rk_Rsh_Def,G_Rsh_Def,Att_Rsh_Def,Yds_Rsh_Def,TD_Rsh_Def,Y/A_Rsh_Def,Y/G_Rsh_Def,EXP_Rsh_Def,Rk_y_Def,G_Def,RshTD_Def,RecTD_Def,PR TD_Def,KR TD_Def,FblTD_Def,IntTD_Def,OthTD_Def,AllTD_Def,2PM_Def,2PA_Def,D2P_Def,XPM_Def,XPA_Def,FGM_Def,FGA_Def,Sfty_Def,Pts_Def,Pts/G_Def
20,20,Chicago Bears,12,4,0,0.75,421,283,138,8.6,-2.3,6.3,1.5,4.8,9.0,Chicago Bears_2018,5502.0,1013.0,5.4,24.0,10.0,331.0,177.0,108.0,97.0,796.0,46.0,36.8,13.2,96.31,21.0,16.0,344.0,512.0,67.2,3564.0,28.0,5.5,14.0,2.7,70.0,7.3,7.2,10.9,222.8,95.4,33.0,183.0,6.1,6.5,6.4,2.0,2.0,97.62,11.0,16.0,468.0,1938.0,16.0,42.0,4.1,121.1,23.0,1.3,1.0,16.0,16.0,28.0,,,1.0,5.0,,50.0,4.0,5.0,,42.0,45.0,23.0,30.0,1.0,421.0,26.3,1.0,4795.0,1004.0,4.8,36.0,9.0,278.0,186.0,67.0,114.0,1022.0,25.0,28.6,19.5,95.5,7.0,16.0,377.0,615.0,61.3,3515.0,22.0,3.6,27.0,98.0,4.4,6.3,5.0,10.2,219.7,72.9,50.0,339.0,100.0,86.0,7.5,5.3,4.1,33.19,1,16,339,1280,5,3.8,80.0,47.17,1,16,5,22,,1.0,,1.0,1.0,30,3.0,8,,22,22,25,26,,283,17.7
21,21,Minnesota Vikings,8,7,1,0.531,360,341,19,1.2,-0.6,0.6,-1.2,1.8,19.0,Minnesota Vikings_2018,5529.0,1003.0,5.5,20.0,10.0,310.0,218.0,66.0,92.0,779.0,26.0,32.4,10.6,7.47,13.0,16.0,425.0,606.0,70.1,4036.0,30.0,5.0,10.0,1.7,75.0,7.1,7.3,10.1,252.3,99.7,40.0,262.0,6.2,6.2,6.5,1.0,0.0,52.77,30.0,16.0,357.0,1493.0,9.0,70.0,4.2,93.3,15.0,-38.02,9.0,16.0,9.0,30.0,,,2.0,1.0,,42.0,3.0,5.0,,36.0,37.0,22.0,32.0,,360.0,22.5,9.0,4955.0,993.0,5.0,20.0,8.0,303.0,160.0,107.0,106.0,834.0,36.0,33.7,10.5,23.15,3.0,16.0,315.0,503.0,62.6,3140.0,15.0,3.0,12.0,63.0,2.4,7.0,6.5,11.1,196.3,83.3,50.0,361.0,94.0,88.0,9.0,5.7,5.2,4.12,15,16,440,1815,13,4.1,113.4,16.07,9,16,13,15,,,2.0,3.0,1.0,34,5.0,5,,28,29,33,36,,341,21.3
22,22,Green Bay Packers,6,9,1,0.406,376,400,-24,-1.5,-1.2,-2.7,0.0,-2.7,14.0,Green Bay Packers_2018,5905.0,1026.0,5.8,15.0,11.0,332.0,208.0,98.0,108.0,937.0,26.0,38.8,6.7,108.88,9.0,16.0,392.0,640.0,61.3,4238.0,25.0,3.9,4.0,0.6,75.0,7.2,7.7,11.8,264.9,93.7,53.0,391.0,7.6,6.1,6.6,3.0,3.0,71.3,22.0,16.0,333.0,1667.0,14.0,67.0,5.0,104.2,22.0,47.02,22.0,16.0,14.0,25.0,,,,1.0,1.0,41.0,3.0,4.0,,34.0,36.0,30.0,37.0,,376.0,23.5,22.0,5670.0,1017.0,5.6,15.0,8.0,331.0,199.0,100.0,97.0,792.0,32.0,37.9,8.2,-105.4,12.0,16.0,336.0,527.0,63.8,3752.0,30.0,5.7,7.0,59.0,1.3,7.7,8.3,12.1,234.5,100.9,44.0,322.0,74.0,72.0,7.7,6.6,7.1,-131.84,22,16,446,1918,15,4.3,119.9,17.05,22,16,15,30,,1.0,,1.0,,47,2.0,3,,43,44,23,31,1.0,400,25.0
23,23,Detroit Lions,6,10,0,0.375,324,360,-36,-2.3,-0.8,-3.0,-3.3,0.3,25.0,Detroit Lions_2018,5236.0,1019.0,5.1,19.0,7.0,325.0,201.0,91.0,94.0,852.0,33.0,35.3,11.0,39.87,20.0,16.0,375.0,574.0,65.3,3576.0,22.0,3.8,12.0,2.1,67.0,6.7,6.5,10.3,223.5,88.5,41.0,268.0,6.7,5.8,5.7,0.0,1.0,67.19,23.0,16.0,404.0,1660.0,11.0,71.0,4.1,103.8,14.0,-17.05,16.0,16.0,11.0,22.0,,,,2.0,,35.0,,5.0,,30.0,30.0,28.0,32.0,,324.0,20.3,16.0,5360.0,942.0,5.7,14.0,7.0,315.0,191.0,88.0,94.0,886.0,36.0,34.5,7.0,-100.68,8.0,16.0,323.0,496.0,65.1,3599.0,29.0,5.8,7.0,48.0,1.4,7.9,8.4,12.1,224.9,102.7,43.0,298.0,77.0,68.0,8.0,6.7,7.2,-106.38,10,16,403,1761,11,4.4,110.1,0.26,16,16,11,29,1.0,,1.0,2.0,,44,2.0,5,,35,39,19,28,,360,22.5
24,24,New Orleans Saints,13,3,0,0.813,504,353,151,9.4,0.6,10.1,7.9,2.2,3.0,New Orleans Saints_2018,6067.0,1010.0,6.0,16.0,9.0,377.0,210.0,134.0,94.0,939.0,33.0,51.8,9.5,237.73,12.0,16.0,381.0,519.0,73.4,4042.0,33.0,6.4,7.0,1.3,72.0,8.0,8.7,11.0,252.6,112.3,20.0,132.0,3.7,7.5,8.1,6.0,7.0,215.12,7.0,16.0,471.0,2025.0,26.0,49.0,4.3,126.6,18.0,20.56,14.0,16.0,26.0,33.0,,,,1.0,,60.0,4.0,5.0,,52.0,53.0,28.0,30.0,,504.0,31.5,14.0,5585.0,978.0,5.7,24.0,12.0,333.0,224.0,72.0,85.0,814.0,37.0,36.0,14.6,-83.8,29.0,16.0,384.0,573.0,67.0,4302.0,30.0,5.2,12.0,69.0,2.1,8.1,8.2,12.0,268.9,100.3,49.0,321.0,98.0,83.0,7.9,6.9,7.0,-140.01,2,16,356,1283,12,3.6,80.2,53.71,14,16,12,30,,,1.0,,,43,5.0,6,,32,37,17,23,,353,22.1
25,25,Atlanta Falcons,7,9,0,0.438,414,423,-9,-0.6,0.4,-0.1,2.5,-2.6,10.0,Atlanta Falcons_2018,6226.0,1010.0,6.2,18.0,11.0,352.0,238.0,84.0,101.0,899.0,30.0,42.9,10.7,155.08,4.0,16.0,428.0,617.0,69.4,4653.0,36.0,5.8,7.0,1.1,75.0,8.0,8.7,11.6,290.8,108.0,42.0,296.0,6.4,7.1,7.7,1.0,1.0,180.6,27.0,16.0,351.0,1573.0,11.0,65.0,4.5,98.3,24.0,-19.08,25.0,16.0,11.0,36.0,,,1.0,1.0,,49.0,2.0,6.0,,41.0,43.0,25.0,26.0,,414.0,25.9,25.0,6152.0,1031.0,6.0,19.0,4.0,375.0,226.0,115.0,108.0,1001.0,34.0,41.5,10.5,-159.71,27.0,16.0,398.0,585.0,68.0,4153.0,33.0,5.6,15.0,72.0,2.6,7.5,7.5,11.1,259.6,98.3,37.0,255.0,77.0,58.0,5.9,6.7,6.7,-122.25,25,16,409,1999,16,4.9,124.9,-49.88,25,16,16,33,,,2.0,1.0,,52,2.0,7,,41,44,22,22,,423,26.4
26,26,Carolina Panthers,7,9,0,0.438,376,382,-6,-0.4,1.3,0.9,0.1,0.8,15.0,Carolina Panthers_2018,5972.0,1011.0,5.9,22.0,6.0,356.0,212.0,117.0,92.0,818.0,27.0,37.0,12.1,117.24,16.0,16.0,378.0,563.0,67.1,3836.0,28.0,5.0,16.0,2.8,82.0,7.2,6.9,10.8,239.8,92.9,32.0,235.0,5.4,6.4,6.2,2.0,2.0,80.29,4.0,16.0,416.0,2136.0,17.0,59.0,5.1,133.5,20.0,44.06,19.0,16.0,17.0,28.0,,,1.0,,,46.0,2.0,5.0,1.0,37.0,41.0,19.0,21.0,,376.0,23.5,19.0,5651.0,948.0,6.0,23.0,10.0,315.0,185.0,110.0,91.0,805.0,20.0,38.0,12.9,-112.34,18.0,16.0,353.0,529.0,66.7,3847.0,32.0,6.0,13.0,71.0,2.5,7.7,7.8,11.5,240.4,99.6,35.0,215.0,71.0,82.0,6.2,6.8,6.9,-107.56,12,16,384,1804,13,4.7,112.8,-5.6,19,16,13,32,,,,1.0,,46,2.0,2,,42,43,20,23,,382,23.9
27,27,Tampa Bay Buccaneers,5,11,0,0.313,396,464,-68,-4.3,1.7,-2.6,2.0,-4.6,12.0,Tampa Bay Buccaneers_2018,6648.0,1055.0,6.3,35.0,9.0,388.0,265.0,80.0,117.0,975.0,43.0,37.0,19.0,121.14,1.0,16.0,408.0,625.0,65.3,5125.0,36.0,5.8,26.0,4.2,75.0,8.6,7.9,13.1,320.3,94.1,41.0,233.0,6.2,7.7,7.0,0.0,1.0,159.05,29.0,16.0,389.0,1523.0,11.0,28.0,3.9,95.2,23.0,-35.16,31.0,16.0,11.0,36.0,,,2.0,,,49.0,1.0,5.0,,40.0,44.0,20.0,27.0,,396.0,24.8,31.0,6134.0,998.0,6.1,17.0,8.0,356.0,209.0,122.0,127.0,1156.0,25.0,40.7,8.2,-152.18,26.0,16.0,387.0,534.0,72.5,4151.0,34.0,6.4,9.0,56.0,1.7,8.2,8.7,11.3,259.4,110.9,38.0,232.0,93.0,85.0,6.6,7.3,7.7,-148.12,24,16,426,1983,19,4.7,123.9,-4.67,31,16,19,34,,,1.0,3.0,,57,3.0,3,,51,54,21,23,1.0,464,29.0
28,28,Los Angeles Rams,13,3,0,0.813,527,384,143,8.9,-0.4,8.5,9.5,-1.1,2.0,Los Angeles Rams_2018,6738.0,1060.0,6.4,19.0,7.0,401.0,236.0,134.0,96.0,878.0,31.0,48.6,9.8,239.79,5.0,16.0,368.0,568.0,64.8,4507.0,32.0,5.6,12.0,2.1,70.0,8.3,8.5,12.9,281.7,100.7,33.0,223.0,5.5,7.5,7.7,4.0,4.0,173.99,3.0,16.0,459.0,2231.0,23.0,56.0,4.9,139.4,17.0,65.94,20.0,16.0,23.0,32.0,,,1.0,3.0,1.0,60.0,5.0,7.0,,51.0,53.0,34.0,41.0,2.0,527.0,32.9,20.0,5737.0,960.0,6.0,30.0,12.0,322.0,185.0,101.0,99.0,852.0,36.0,38.2,16.9,-74.04,14.0,16.0,347.0,533.0,65.1,3780.0,31.0,5.8,18.0,68.0,3.4,7.7,7.3,11.8,236.3,93.7,41.0,326.0,94.0,71.0,7.1,6.6,6.3,-63.15,23,16,386,1957,12,5.1,122.3,-7.27,20,16,12,31,,,1.0,,,44,2.0,2,,39,42,25,28,1.0,384,24.0
29,29,Seattle Seahawks,10,6,0,0.625,428,347,81,5.1,-0.6,4.5,3.0,1.5,6.0,Seattle Seahawks_2018,5653.0,1012.0,5.6,11.0,4.0,329.0,156.0,133.0,111.0,959.0,40.0,39.8,6.1,128.78,27.0,16.0,280.0,427.0,65.6,3093.0,35.0,8.2,7.0,1.6,66.0,8.1,9.0,12.3,193.3,110.9,51.0,355.0,10.7,6.5,7.3,2.0,4.0,114.5,1.0,16.0,534.0,2560.0,15.0,61.0,4.8,160.0,18.0,18.93,11.0,16.0,15.0,35.0,,,1.0,1.0,,52.0,1.0,1.0,,48.0,51.0,22.0,27.0,,428.0,26.8,11.0,5653.0,955.0,5.9,26.0,14.0,323.0,201.0,91.0,108.0,981.0,31.0,35.2,14.2,-61.32,17.0,16.0,355.0,546.0,65.0,3842.0,26.0,4.8,12.0,64.0,2.2,7.5,7.5,11.6,240.1,94.3,43.0,261.0,109.0,69.0,7.3,6.5,6.5,-68.19,13,16,366,1811,9,4.9,113.2,-1.8,11,16,9,26,,1.0,,2.0,1.0,39,2.0,5,,31,34,26,33,,347,21.7
30,30,San Francisco 49ers,4,12,0,0.25,342,435,-93,-5.8,0.3,-5.5,-2.5,-3.1,21.0,San Francisco 49ers_2018,5769.0,1003.0,5.8,32.0,12.0,344.0,201.0,98.0,112.0,982.0,45.0,37.0,17.1,20.95,15.0,16.0,331.0,532.0,62.2,3867.0,26.0,4.9,20.0,3.8,85.0,8.0,7.3,12.8,241.7,87.8,48.0,380.0,8.3,6.7,6.0,0.0,1.0,61.3,13.0,16.0,423.0,1902.0,7.0,66.0,4.5,118.9,31.0,-27.7,28.0,16.0,7.0,26.0,,1.0,,1.0,,35.0,2.0,6.0,,27.0,29.0,33.0,34.0,1.0,342.0,21.4,28.0,5546.0,1023.0,5.4,7.0,5.0,337.0,195.0,104.0,117.0,1011.0,38.0,39.8,3.9,-126.92,11.0,16.0,344.0,542.0,63.5,3732.0,35.0,6.5,2.0,39.0,0.4,7.3,8.4,11.5,233.3,105.4,37.0,227.0,92.0,81.0,6.4,6.4,7.5,-141.78,14,16,444,1814,13,4.1,113.4,13.85,28,16,13,35,,,1.0,3.0,,52,2.0,2,,45,50,24,27,1.0,435,27.2
31,31,Arizona Cardinals,3,13,0,0.188,225,425,-200,-12.5,1.0,-11.5,-9.6,-1.9,32.0,Arizona Cardinals_2018,3865.0,902.0,4.3,28.0,10.0,239.0,137.0,76.0,101.0,786.0,26.0,19.3,15.0,-155.06,32.0,16.0,283.0,495.0,57.2,2523.0,15.0,3.0,18.0,3.6,75.0,5.8,4.8,10.2,157.7,69.0,52.0,361.0,9.5,4.6,3.7,1.0,2.0,-106.25,32.0,16.0,355.0,1342.0,9.0,53.0,3.8,83.9,23.0,-39.85,26.0,16.0,9.0,15.0,,,2.0,,1.0,27.0,2.0,3.0,,23.0,24.0,12.0,17.0,,225.0,14.1,26.0,5741.0,1065.0,5.4,16.0,9.0,357.0,186.0,139.0,100.0,790.0,32.0,38.0,8.6,-85.72,4.0,16.0,342.0,506.0,67.6,3262.0,21.0,4.2,7.0,52.0,1.4,7.1,7.3,10.5,203.9,96.1,49.0,333.0,90.0,99.0,8.8,5.9,6.1,-62.52,32,16,510,2479,25,4.9,154.9,-34.43,26,16,25,21,,,,4.0,,50,3.0,8,,42,42,25,31,1.0,425,26.6
